Date  ,Concert  ,Venue  ,Location  
"Dec 13, 2018 ",The Front Bottoms / Manchester Orchestra / Shannen Moser  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 13, 2018 ","The Front Bottoms and Manchester Orchestra at The Fillmore Philadelphia (December 13, 2018)  ",The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 12, 2018 ",Manchester Orchestra  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 12, 2018 ",Manchester Orchestra ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 12, 2018 ",The Front Bottoms / Manchester Orchestra  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 12, 2018 ",Manchester Orchestra / The Front Bottoms  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 12, 2018 ",Manchester Orchestra / The Front Bottoms  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 08, 2018 ",Cody Jinks / The Steel Woods / Tennessee Jet ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2018 ",Blackberry Smoke  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 06, 2018 ",Blackberry Smoke ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Dec 01, 2018 ","Circa Survive w/ La Dispute and Queen of Jeans at The Fillmore Philadelphia (December 1, 2018)  ",The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 29, 2018 ",The Internet ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 23, 2018 ",Pusha T / Phony Ppl ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 18, 2018 ",When Broken Is Easily Fixed 15 Year Anniversary Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 18, 2018 ",Silverstein / Hawthorne Heights / As Cities Burn / Capstan ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 18, 2018 ",When Broken Is Easily Fixed 15th Anniversary Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 18, 2018 ",Silverstein / Hawthorne Heights / As Cities Burn / Capstan ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 18, 2018 ",Silverstein  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 18, 2018 ",Silverstein ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 14, 2018 ",Welcome to Sunnyland  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 13, 2018 ",Bob Weir And Wolf Bros    ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 13, 2018 ",Don Was / Bob Weir / Jay Lane ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 12, 2018 ",6LACK / Summer Walker  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 12, 2018 ",6LACK / Summer Walker  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 08, 2018 ",Tenacious D  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 03, 2018 ",Click Tour  ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
"Nov 03, 2018 ",Robert DeLong / AJR ,The Fillmore Philadelphia ,"Philadelphia, Pennsylvania, United States "
